Filopodia Name,Filopodia ID,Bulbous,Bulbous (%),Start Time Step,End Time Step,Life Time [min],Length (mean) [mum],Length (std) [mum],Final Length [mum],Total Events,Total Speed (mean)[mum],Total Speed (std)[mum],Filter = 0.10,Filtered Total Events,Filtered Total Speed (mean)[mum],Filtered Total Speed (std) [mum],Filtered Extension Events,Filtered Extension Speed (mean) [mum],Filtered Extension Speed (std) [mum],Filtered Retraction Events,Filtered Retraction Speed (mean) [mum],Filtered Retraction Speed (std)[mum],Static,Static (%)
F_0000,4,0,0,33,34,2,0.73130083,0.0074704587,0.73877126,3,0.49251416,0.33775038,0.1,2,0.73130083,0.0074704587,1,0.72383034,0,1,0.73877126,0.014940917,1,0.33333334
F_0001,5,0,0,15,18,4,1.0068429,0.027731914,1.0218587,5,0.41791224,0.47586179,0.1,2,1.000026,0.021832734,1,0.97819322,0,1,1.0218587,0.043665469,3,0.60000002
F_0002,6,0,0,29,32,4,0.89142042,0.057527598,0.80775207,5,0.38786569,0.38216811,0.1,2,0.85448676,0.046734691,1,0.90122145,0,1,0.80775207,0.093469381,3,0.60000002
F_0003,7,0,0,44,44,1,0.40479526,0,0.40479526,2,0.40479526,0,0.1,2,0.40479526,0,1,0.40479526,0,1,0.40479526,0,0,0
F_0004,8,0,0,10,14,5,1.1930459,0.15907755,1.3595293,6,0.59022903,0.54546249,0.1,5,0.70391858,0.52866179,2,0.88534355,0.42947078,3,0.58296865,0.63063484,1,0.16666667
F_0005,9,0,0,11,11,1,0.80893129,0,0.80893129,2,0.80893129,0,0.1,2,0.80893129,0,1,0.80893129,0,1,0.80893129,0,0,0
F_0006,10,0,0,11,16,6,0.56786484,0.23365416,0.42176118,7,0.41116619,0.17643423,0.1,6,0.47463176,0.090122662,3,0.47969389,0.12202273,3,0.46956956,0.037495237,1,0.14285715
F_0007,11,0,0,28,30,3,0.71837968,0.098226957,0.72716373,4,0.48364407,0.30173331,0.1,4,0.48364407,0.30173331,2,0.48364407,0.35040569,2,0.48364407,0.24351966,0,0
F_0008,12,0,0,13,13,1,0.95627981,0,0.95627981,2,0.95627981,0,0.1,2,0.95627981,0,1,0.95627981,0,1,0.95627981,0,0,0
F_0009,13,0,0,43,45,3,0.49346426,0.07978753,0.49561375,4,0.34550852,0.20291902,0.1,4,0.34550852,0.20291902,2,0.34550852,0.24458265,2,0.34550852,0.15010524,0,0
F_0010,14,0,0,44,46,3,0.54015189,0.083082125,0.43489081,4,0.31899673,0.22913048,0.1,3,0.39518833,0.21628776,1,0.63799345,0,2,0.27378574,0.39824879,1,0.25
F_0011,15,0,0,0,59,60,2.3324723,0.70579112,1.8903732,59,0.24774928,0.23611763,0.1,42,0.32664618,0.23751739,20,0.33388543,0.24257983,22,0.32006499,0.23303439,17,0.28813559
F_0012,16,0,0,45,45,1,0.5710516,0,0.5710516,2,0.5710516,0,0.1,2,0.5710516,0,1,0.5710516,0,1,0.5710516,0,0,0
F_0013,17,0,0,12,14,3,1.3981007,0.10746209,1.2869285,4,0.77171183,0.5550648,0.1,4,0.77171183,0.5550648,2,0.77171183,0.59223783,2,0.77171183,0.51521671,0,0
