"Filopodia Name","Filopodia ID",Bulbous,"Bulbous (%)","Start Time Step","End Time Step","Life Time [min]","Length (mean) [mum]","Length (std) [mum]","Final Length [mum]","Total Events","Total Speed (mean)[mum]","Total Speed (std)[mum]","Filter = 0.10","Filtered Total Events","Filtered Total Speed (mean)[mum]","Filtered Total Speed (std) [mum]","Filtered Extension Events","Filtered Extension Speed (mean) [mum]","Filtered Extension Speed (std) [mum]","Filtered Retraction Events","Filtered Retraction Speed (mean) [mum]","Filtered Retraction Speed (std)[mum]",Static,"Static (%)"
F_0000,4,0,0,43,43,1,0.7788052,0,0.7788052,2,0.7788052,0,"",2,0.7788052,0,1,0.7788052,0,1,0.7788052,0,0,0
F_0001,5,0,0,42,43,2,0.64206338,0.0336667,0.60839665,3,0.45048669,0.27232122,"",2,0.64206338,0.0336667,1,0.67573005,0,1,0.60839665,0.0673334,1,0.33333334
F_0002,6,0,0,19,21,3,0.68895155,0.25686675,1.0522056,4,0.52848756,0.37056252,"",3,0.70306021,0.24735868,2,0.52848756,0.018778205,1,1.0522056,0.523718,1,0.25
F_0003,7,0,0,40,50,11,1.2659284,0.18313283,1.3598231,12,0.31699839,0.39400363,"",9,0.40704018,0.41723546,6,0.30923831,0.29843232,3,0.60264385,0.61059654,3,0.25
F_0004,8,0,0,44,49,6,1.0388092,0.29815385,0.80975735,7,0.40032002,0.27454513,"",6,0.46251121,0.24670497,4,0.34348679,0.20696026,2,0.70056003,0.37339705,1,0.14285715
F_0005,9,0,0,16,22,7,2.1331434,0.27573758,2.5837657,8,0.68535501,0.90002298,"",6,0.88947362,0.95571834,4,0.64885539,0.6787141,2,1.37071,1.4115871,2,0.25
F_0006,10,0,0,44,44,1,0.89673179,0,0.89673179,2,0.89673179,0,"",2,0.89673179,0,1,0.89673179,0,1,0.89673179,0,0,0
F_0007,11,0,0,44,44,1,0.87280339,0,0.87280339,2,0.87280339,0,"",2,0.87280339,0,1,0.87280339,0,1,0.87280339,0,0,0
F_0008,12,0,0,14,14,1,0.77918553,0,0.77918553,2,0.77918553,0,"",2,0.77918553,0,1,0.77918553,0,1,0.77918553,0,0,0
F_0009,13,0,0,14,14,1,0.57511222,0,0.57511222,2,0.57511222,0,"",2,0.57511222,0,1,0.57511222,0,1,0.57511222,0,0,0
F_0010,14,0,0,41,41,1,1.2992017,0,1.2992017,2,1.2992017,0,"",2,1.2992017,0,1,1.2992017,0,1,1.2992017,0,0,0
F_0011,15,0,0,13,13,1,0.7180075,0,0.7180075,2,0.7180075,0,"",2,0.7180075,0,1,0.7180075,0,1,0.7180075,0,0,0
F_0012,16,0,0,13,13,1,0.511989,0,0.511989,2,0.511989,0,"",2,0.511989,0,1,0.511989,0,1,0.511989,0,0,0
F_0013,17,0,0,2,4,3,0.92003757,0.015108145,0.91727847,4,0.47698793,0.45167416,"",2,0.92852211,0.011243671,1,0.93976581,0,1,0.91727847,0.022487342,2,0.5
F_0014,18,0,0,38,59,22,1.543977,0.39305514,1.6883894,22,0.3387754,0.30908036,"",16,0.44846889,0.29496825,9,0.48144621,0.32792827,7,0.40606955,0.25118804,6,0.27272728
F_0015,19,0,0,5,5,1,1.177839,0,1.177839,2,1.177839,0,"",2,1.177839,0,1,1.177839,0,1,1.177839,0,0,0
F_0016,20,0,0,5,5,1,0.70325261,0,0.70325261,2,0.70325261,0,"",2,0.70325261,0,1,0.70325261,0,1,0.70325261,0,0,0
F_0017,21,0,0,16,16,1,0.67190051,0,0.67190051,2,0.67190051,0,"",2,0.67190051,0,1,0.67190051,0,1,0.67190051,0,0,0
F_0018,22,0,0,0,59,60,2.2175941,0.72964895,1.4307915,59,0.31423706,0.25801668,"",46,0.39072874,0.24214432,19,0.42648947,0.22996138,27,0.36556378,0.25467637,13,0.22033899
F_0019,23,0,0,15,15,1,0.55850184,0,0.55850184,2,0.55850184,0,"",2,0.55850184,0,1,0.55850184,0,1,0.55850184,0,0,0
F_0020,24,0,0,5,16,12,0.76639682,0.17267919,0.55173731,13,0.29657698,0.22553268,"",10,0.36353353,0.21560048,5,0.38555008,0.27541944,5,0.34151697,0.13446453,3,0.23076923
F_0021,25,0,0,33,46,14,1.9498823,0.46559119,1.1359849,15,0.37750202,0.4258948,"",11,0.50493646,0.43165025,4,0.70703995,0.49119371,7,0.38944864,0.46809042,4,0.26666668
F_0022,26,0,0,16,17,2,0.56622159,0.021498919,0.58772051,3,0.39181367,0.24727391,"",2,0.56622159,0.021498919,1,0.54472268,0,1,0.58772051,0.042997837,1,0.33333334
F_0023,27,0,0,16,18,3,0.53708941,0.12147615,0.69159353,4,0.34579676,0.22392865,"",4,0.34579676,0.22392865,3,0.23053117,0.11710718,1,0.69159353,0.46106234,0,0
F_0024,28,0,0,25,25,1,0.58059084,0,0.58059084,2,0.58059084,0,"",2,0.58059084,0,1,0.58059084,0,1,0.58059084,0,0,0
F_0025,29,0,0,49,49,1,0.68683696,0,0.68683696,2,0.68683696,0,"",2,0.68683696,0,1,0.68683696,0,1,0.68683696,0,0,0
